code,field,desc
astro-ph.GA,Physics,Astrophysics of Galaxies
astro-ph.CO,Physics,Cosmology and Nongalactic Astrophysics
astro-ph.EP,Physics,Earth and Planetary Astrophysics
astro-ph.HE,Physics,High Energy Astrophysical Phenomena
astro-ph.IM,Physics,Instrumentation and Methods for Astrophysics
astro-ph.SR,Physics,Solar and Stellar Astrophysics
cond-mat.dis-nn,Physics,Disordered Systems and Neural Networks
cond-mat.mtrl-sci,Physics,Materials Science
cond-mat.mes-hall,Physics,Mesoscale and Nanoscale Physics
cond-mat.other,Physics,Other Condensed Matter
cond-mat.quant-gas,Physics,Quantum Gases
cond-mat.soft,Physics,Soft Condensed Matter
cond-mat.stat-mech,Physics,Statistical Mechanics
cond-mat.str-el,Physics,Strongly Correlated Electrons
cond-mat.supr-con,Physics,Superconductivity
nlin.AO,Physics,Adaptation and Self-Organizing Systems
nlin.CG,Physics,Cellular Automata and Lattice Gases
nlin.CD,Physics,Chaotic Dynamics
nlin.SI,Physics,Exactly Solvable and Integrable Systems
nlin.PS,Physics,Pattern Formation and Solitons
physics.acc-ph,Physics,Accelerator Physics
physics.app-ph,Physics,Applied Physics
physics.ao-ph,Physics,Atmospheric and Oceanic Physics
physics.atom-ph,Physics,Atomic Physics
physics.atm-clus,Physics,Atomic and Molecular Clusters
physics.bio-ph,Physics,Biological Physics
physics.chem-ph,Physics,Chemical Physics
physics.class-ph,Physics,Classical Physics
physics.comp-ph,Physics,Computational Physics
physics.data-an,Physics,Data Analysis, Statistics and Probability
physics.flu-dyn,Physics,Fluid Dynamics
physics.gen-ph,Physics,General Physics
physics.geo-ph,Physics,Geophysics
physics.hist-ph,Physics,History and Philosophy of Physics
physics.ins-det,Physics,Instrumentation and Detectors
physics.med-ph,Physics,Medical Physics
physics.optics,Physics,Optics
physics.ed-ph,Physics,Physics Education
physics.soc-ph,Physics,Physics and Society
physics.plasm-ph,Physics,Plasma Physics
physics.pop-ph,Physics,Popular Physics
physics.space-ph,Physics,Space Physics
math.AG,Mathematics,Algebraic Geometry
math.AT,Mathematics,Algebraic Topology
math.AP,Mathematics,Analysis of PDEs
